date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-08,TZNI,Al-Khatam Telecom,3.72,3.9,3.72,3.8,3.72,2.15,927264.0,3531940.57,23
2026-09-08,SBPT,Baghdad -Iraq Transportation,20.8,20.8,20.5,20.65,20.75,-0.48,693200.0,14293200.0,19
2026-09-08,SMRI,Mamoura Realestate ,2.49,2.49,2.3,2.35,2.5,-6.0,3587024.0,8355030.33,37
2026-09-08,IBSD,Baghdad Soft Drinks,6.16,6.18,6.15,6.18,6.16,0.32,3056414.0,18822284.91,64
2026-09-08,IHLI,Al-Hilal Industries,1.4,1.4,1.4,1.4,1.4,0.0,810.0,1134.0,2
2026-09-08,IIDP,Iraqi Date Processing and Marketing,2.15,2.15,2.15,2.15,2.15,0.0,11511.0,24748.65,4
2026-09-08,IITC,Iraqi For Tufted Carpets,22.0,22.0,22.0,22.0,22.0,0.0,520400.0,11448800.0,2
2026-09-08,IKHC,Al -Khazer Construction Materials,1.2,1.2,1.19,1.19,1.2,-0.83,29195.0,34824.88,4
2026-09-08,IKLV,Al-Kindi of Veterinary Vaccines,2.7,2.7,2.55,2.69,2.7,-0.37,222490.0,597592.65,13
2026-09-08,IMAP,Al-Mansour Pharmaceuticals Industries,2.2,2.2,2.2,2.2,2.2,0.0,5284091.0,11625000.2,13
2026-09-08,IMOS,Modern Sewing,7.06,7.5,7.06,7.2,7.2,0.0,2135000.0,15300700.0,23
2026-09-08,IRMC,Ready Made Clothes ,2.25,2.25,2.25,2.25,2.25,0.0,97000.0,218250.0,3
2026-09-08,HBAG,Baghdad Hotel,12.29,12.3,12.25,12.25,12.2,0.41,2120161.0,25972419.09,10
2026-09-08,HBAY,Babylon Hotel,108.0,108.0,108.0,108.0,108.0,0.0,261.0,28188.0,1
2026-09-08,HTVM,Tourist Village of Mosul dam,13.6,15.6,13.55,13.55,13.0,4.23,11938.0,166760.34,6
2026-09-08,AIPM,Agricultural Products Meat,4.7,4.7,4.7,4.7,4.7,0.0,438539.0,2061133.3,6
2026-09-08,AMEF,Middle East for Production- Fish,5.69,5.69,5.69,5.69,5.99,-5.01,8397.0,47778.93,3
2026-09-08,BINT,International Islamic Bank,0.13,0.16,0.12,0.12,0.13,-7.69,1225000.0,160583.33,18
2026-09-08,BROI,Credit Bank Of Iraq,0.5,0.5,0.5,0.5,0.51,-1.96,12000000.0,6000000.0,40
2026-09-08,SAEI,Al-Ameen Estate Investment,1.66,1.66,1.66,1.66,1.66,0.0,5000.0,8300.0,1
2026-09-08,NHAM,Al-Hamraa for Insurance,5.0,5.0,5.0,5.0,5.0,0.0,8988.0,44940.0,2
2026-09-08,IFCM,Fallujah for construction Materials,2.82,2.85,2.81,2.85,2.81,1.42,1599024.0,4530231.2,13
2026-09-08,HASH,Ashour Hotel,25.99,25.99,25.99,25.99,25.99,0.0,1000.0,25990.0,1
2026-09-08,BSUC,Sumer Commercial Bank,0.21,0.22,0.21,0.22,0.21,4.76,60209004.0,12645116.55,14
2026-09-08,SIGT,General Transportation,1.38,1.38,1.35,1.35,1.37,-1.46,19320.0,26470.22,4
2026-09-08,IICM,Iraqi Carton Manufactories,1.8,1.8,1.8,1.8,1.8,0.0,5522.0,9939.6,1
2026-09-08,INCP,National Chemical &Plastic,1.83,1.83,1.83,1.83,1.82,0.55,237500.0,434625.0,1
2026-09-08,ITLI,The Light Industries,1.27,1.27,1.27,1.27,1.27,0.0,1000000.0,1270000.0,1
2026-09-08,HISH,Ishtar Hotels,9.53,9.53,9.25,9.42,9.54,-1.26,1267414.0,11883310.98,16
2026-09-08,HPAL,Palestine Hotel,21.5,21.5,21.0,21.0,21.85,-3.89,867011.0,18257431.0,18
2026-09-08,HSAD,Al-Sadeer Hotel,24.0,24.0,24.0,24.0,23.0,4.35,108000.0,2592000.0,22
2026-09-08,ABAP,Babil Animal & Vegetable Production ,8.45,8.45,8.45,8.45,8.45,0.0,6334.0,53522.3,4
2026-09-08,AISP,Iraqi for Seed Production,5.45,5.45,5.35,5.43,5.45,-0.37,9039970.0,48933732.78,48
2026-09-08,AMAP,Modern for Animal Production,0.34,0.34,0.34,0.34,0.34,0.0,102215.0,34753.1,3
2026-09-08,BWAI,Al-Warka Bank,,0.14,0.14,0.14,,,3043837.0,426137.18,5
2026-09-08,IKFP,Kirkuk producing constructional materials,,2.0,2.0,2.0,,,4970.0,9940.0,2
2026-09-08,BSAN,Al-Sanam Islamic Bank,,,,,,,,,3
2026-09-08,BAIB,Asia Al Iraq Islamic Bank for Investment,,,,0.96,,,0.0,,0
2026-09-08,BNAI,National Islamic Bank,,,,1.0,,,0.0,,0
2026-09-08,BELF,Elaf Islamic Bank,,,,0.32,,,0.0,,0
2026-09-08,BCIH,Cihan Bank for Islamic Investment&Finance,,,,1.75,,,0.0,,0
2026-09-08,NDSA,Dar Al-Salam for Insurance,,,,0.7,,,0.0,,0
2026-09-08,NAME,Al-Ameen for Insurance,,,,0.86,,,0.0,,0
2026-09-08,SKTA,Kharkh Tour Amuzement City,,,,4.4,,,0.0,,0
2026-09-08,SMOF,Al-Mosul for funfairs,,,,13.0,,,0.0,,0
2026-09-08,SNUC,AL-Nukhba for Construction,,,,0.69,,,0.0,,0
2026-09-08,HKAR,Rehab Karbalaa ,,,,0.5,,,0.0,,0
2026-09-08,IMIB,Metallic Industries and Bicycles,,,,1.94,,,0.0,,0
2026-09-08,IIEW,Iraqi Engineering Works,,,,5.04,,,0.0,,0
2026-09-08,HMAN,Mansour Hotel,,,,61.2,,,0.0,,0
2026-09-08,AAHP,Al-Ahlyia agricultural production,,,,2.11,,,0.0,,0
2026-09-08,AIRP,Iraqi Agricultural Products ,,,,11.0,,,0.0,,0
2026-09-08,BANS,AL-Anssari Islamic Bank,,,,0.05,,,0.0,,0
2026-09-08,BLAD,Al-Ataa Islamic Bank,,,,0.09,,,0.0,,0
2026-09-08,BQAB,Al-Qabidh Islamic Bank,,,,0.07,,,0.0,,0
2026-09-08,BINI,Iraq Noor Islamic Bank for Investment,,,,0.2,,,0.0,,0
2026-09-08,BTRI,Trans Iraq Bank Investment,,,,0.27,,,0.0,,0
2026-09-08,BAAI,Arab Islamic Bank,,,,1.0,,,0.0,,0
2026-09-08,BQUR,Al-Qurtas Islamic Bank,,,,1.0,,,0.0,,0
2026-09-08,BMAL,AL- Mal Islamic Bank,,,,1.0,,,0.0,,0
2026-09-08,BERI,Erbil Investment & FinanceBank,,,,0.11,,,0.0,,0
2026-09-08,BRTB,Region Trade Bank,,,,1.01,,,0.0,,0
2026-09-08,BIDB,International Development Bank,,,,1.05,,,0.0,,0
2026-09-08,BRAJ,Al-Rajih Islamic Bank,,,,1.0,,,0.0,,0
2026-09-08,BMUI,Al-Mustashar Islamic Bank for Investment,,,,1.0,,,0.0,,0
2026-09-08,BTRU,Trust International Islamic Bank,,,,0.75,,,0.0,,0
2026-09-08,BJAB,Al janoob Islamic Bank,,,,0.94,,,0.0,,0
2026-09-08,BAMS,Al-Mashreq Al-Arabi Islamic Bank,,,,0.85,,,0.0,,0
2026-09-08,NAHF,Alahliya For Insurance,,,,0.82,,,0.0,,0
2026-09-08,VWIF,AL-Wiaam for Financial Investment,,,,0.68,,,0.0,,0
2026-09-08,VAMF,Al-Ameen for Financial Investment,,,,1.26,,,0.0,,0
2026-09-08,SIBD,Ibdaa Al-sharq Alwast General Contracting,,,,1.0,,,0.0,,0
2026-09-08,IHFI,National Furniture Industries,,,,1.15,,,0.0,,0
2026-09-08,IBPM,Baghdad for Packing Materials,,,,3.0,,,0.0,,0
2026-09-08,IMCI,Modern chemical industries,,,,100.0,,,0.0,,0
2026-09-08,BMFI,Mosul Bank For Investment,,,,0.13,,,0.0,,0
2026-09-08,BUND,United Bank,,,,0.05,,,0.0,,0
2026-09-08,BUOI,Union Bank of Iraq,,,,0.16,,,0.0,,0
2026-09-08,BWOR,World Islamic Bank for Investment,,,,1.0,,,0.0,,0
2026-09-08,BAME,Ameen Al-Iraq Islamic Bank,,,,1.0,,,0.0,,0
2026-09-08,SBAG,AL-Badia for General Trans,,,,1.2,,,0.0,,0
2026-09-08,IMCM,Modern Construction Materials,,,,1.35,,,0.0,,0
2026-09-08,IELI,Electronic Industry,,,,1.37,,,0.0,,0
2026-09-08,HNTI,National for Tourist Investment,,,,9.0,,,0.0,,0
2026-09-09,BASH,Ashur International Bank,0.32,0.32,0.32,0.32,0.32,0.0,3316812.0,1061379.84,1.0
2026-09-09,BBOB,Bank of Baghdad,2.92,2.94,2.87,2.92,2.92,0.0,36276367.0,105483422.59,185.0
2026-09-09,BCOI,Commercial Islamic Bank of Iraq,0.55,0.55,0.55,0.55,0.55,0.0,15072089.0,8289648.95,22.0
2026-09-09,BEFI,Economy Bank,0.23,0.23,0.23,0.23,0.23,0.0,10703093.0,2461711.39,3.0
2026-09-09,BGUC,Gulf Commercial Bank,0.33,0.33,0.33,0.33,0.33,0.0,5520000.0,1821600.0,16.0
2026-09-09,BIBI,Investment Bank of Iraq,0.39,0.39,0.39,0.39,0.4,-2.5,20300000.0,7917000.0,17.0
2026-09-09,BIIB,Iraqi Islamic Bank,0.96,0.96,0.95,0.95,0.96,-1.04,16504615.0,15723382.15,54.0
2026-09-09,BIME,Middle East Bank,0.07,0.08,0.07,0.08,0.07,14.29,56701000.0,3969080.0,15.0
2026-09-09,BKUI,Kurdistan International Bank,1.17,1.17,1.17,1.17,1.3,-10.0,96319.0,112693.23,1.0
2026-09-09,BMNS,Al -Mansour Bank,2.08,2.08,2.04,2.07,2.08,-0.48,646614726.0,1324795965.9,157.0
2026-09-09,BNOI,National Bank of Iraq,3.82,3.82,3.8,3.82,3.82,0.0,5499329.0,20996203.59,53.0
2026-09-09,NAME,Al-Ameen for Insurance,0.86,0.86,0.85,0.85,0.86,-1.16,1847436.0,1570520.6,6.0
2026-09-09,NDSA,Dar Al-Salam for Insurance,0.75,0.75,0.75,0.75,0.7,7.14,1000000.0,750000.0,1.0
2026-09-09,TASC,Asia Cell Telecommunication,15.7,15.7,15.5,15.5,15.69,-1.21,16145197.0,251446278.34,236.0
2026-09-09,TZNI,Al-Khatam Telecom,3.8,3.81,3.8,3.81,3.8,0.26,360153.0,1371081.4,13.0
2026-09-09,SBPT,Baghdad -Iraq Transportation,20.6,20.6,20.25,20.25,20.65,-1.94,527208.0,10808214.0,19.0
